epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9757032990455627,9.999999747378752e-05,0.18356391787528992,0.9797136187553406,0.15649494528770447
1,0.9867007732391357,9.999999747378752e-05,0.12465299665927887,0.9856801629066467,0.13521108031272888
2,0.9905371069908142,9.999999747378752e-05,0.10244961082935333,0.9892601370811462,0.15189148485660553
3,0.987979531288147,9.999999747378752e-05,0.1004398912191391,0.9677804112434387,0.21759219467639923
4,0.9895140528678894,9.999999747378752e-05,0.09463760256767273,0.9880668520927429,0.13731062412261963
5,0.9943733811378479,9.999999747378752e-05,0.09380226582288742,0.9797136187553406,0.15196995437145233
6,0.991304337978363,9.999999747378752e-05,0.09135229885578156,0.9904534816741943,0.11581538617610931
7,0.9956521987915039,9.999999747378752e-05,0.07690940797328949,0.9856801629066467,0.12123521417379379
8,0.9951406717300415,9.999999747378752e-05,0.08010996878147125,0.9868735074996948,0.12671580910682678
9,0.9951406717300415,9.999999747378752e-05,0.0758213922381401,0.9868735074996948,0.11431090533733368
10,0.9966751933097839,9.999999747378752e-05,0.07812458276748657,0.9880668520927429,0.11684473603963852
11,0.9979539513587952,9.999999747378752e-05,0.06934090703725815,0.9868735074996948,0.13441075384616852
12,0.9956521987915039,9.999999747378752e-05,0.07922467589378357,0.9797136187553406,0.15611428022384644
13,0.997698187828064,9.999999747378752e-05,0.06738108396530151,0.9916467666625977,0.101373091340065
14,0.9971867203712463,9.999999747378752e-05,0.07161929458379745,0.9868735074996948,0.1173662319779396
15,0.9964194297790527,9.999999747378752e-05,0.08096477389335632,0.9856801629066467,0.11626296490430832
16,0.9966751933097839,9.999999747378752e-05,0.07107104361057281,0.9880668520927429,0.09744893014431
17,0.9969309568405151,9.999999747378752e-05,0.07069338858127594,0.9880668520927429,0.11704837530851364
18,0.9951406717300415,9.999999747378752e-05,0.07446888834238052,0.9904534816741943,0.09012037515640259
19,0.9969309568405151,9.999999747378752e-05,0.06732523441314697,0.9880668520927429,0.11136295646429062
20,0.9987212419509888,9.999999747378752e-05,0.061643537133932114,0.9916467666625977,0.09365400671958923
21,0.9966751933097839,9.999999747378752e-05,0.06837530434131622,0.9880668520927429,0.10722021758556366
22,0.9987212419509888,9.999999747378752e-05,0.061467621475458145,0.9904534816741943,0.09794420003890991
23,0.9953964352607727,9.999999747378752e-05,0.06790745258331299,0.9749403595924377,0.21333110332489014
