epoch,accuracy,learning_rate,loss,top3_acc,val_accuracy,val_loss,val_top3_acc
0,0.35754474997520447,0.0010000000474974513,1.899413824081421,0.7033247947692871,0.14319808781147003,2.899312973022461,0.4701670706272125
1,0.48772379755973816,0.0010000000474974513,1.5427254438400269,0.8258311748504639,0.23627685010433197,2.8696672916412354,0.517899751663208
2,0.5762148499488831,0.0010000000474974513,1.310031771659851,0.8803068995475769,0.328162282705307,2.6815013885498047,0.6921241283416748
3,0.6104859113693237,0.0010000000474974513,1.221456527709961,0.9017902612686157,0.4319809079170227,1.9278005361557007,0.7780429720878601
4,0.6462915539741516,0.0010000000474974513,1.115344524383545,0.9171355366706848,0.4534606337547302,3.1044209003448486,0.784009575843811
5,0.6624041199684143,0.0010000000474974513,1.0959563255310059,0.9207161068916321,0.5906921029090881,1.445088267326355,0.8603818416595459
6,0.690281331539154,0.0010000000474974513,1.0120842456817627,0.9360613822937012,0.6933174133300781,1.0034003257751465,0.9176610708236694
7,0.7005115151405334,0.0010000000474974513,0.9789191484451294,0.9416880011558533,0.3818615674972534,3.0193002223968506,0.6825775504112244
8,0.7421994805335999,0.0010000000474974513,0.8971134424209595,0.9503836035728455,0.5023866295814514,1.8131970167160034,0.8544152975082397
9,0.7470588088035583,0.0010000000474974513,0.8973535299301147,0.9491048455238342,0.5369928479194641,2.0623419284820557,0.7541766166687012
10,0.7647058963775635,0.0010000000474974513,0.832564651966095,0.9588235020637512,0.4868735074996948,2.297002077102661,0.7792362570762634
11,0.7759590744972229,0.0010000000474974513,0.811316192150116,0.9606137871742249,0.723150372505188,1.2033463716506958,0.8830549120903015
12,0.8122762441635132,0.0005000000237487257,0.6940988302230835,0.9780051112174988,0.7971360087394714,0.749681830406189,0.9606205224990845
13,0.8304347991943359,0.0005000000237487257,0.6500007510185242,0.9746803045272827,0.7899761199951172,0.7147143483161926,0.9713603854179382
14,0.834782600402832,0.0005000000237487257,0.6311726570129395,0.9741687774658203,0.7684963941574097,0.9227559566497803,0.9343675374984741
15,0.8485933542251587,0.0005000000237487257,0.6003269553184509,0.9823529124259949,0.699284017086029,1.165732741355896,0.9176610708236694
16,0.8485933542251587,0.0005000000237487257,0.614916980266571,0.9795396327972412,0.7613365054130554,0.8324722051620483,0.9630071520805359
17,0.8570332527160645,0.0005000000237487257,0.5849660634994507,0.9797953963279724,0.8949880599975586,0.46010926365852356,0.9904534816741943
18,0.8659846782684326,0.0005000000237487257,0.5496008992195129,0.9823529124259949,0.8532219529151917,0.5461645126342773,0.9832935333251953
19,0.8677749633789062,0.0005000000237487257,0.5507230162620544,0.9841431975364685,0.7482100129127502,0.9686347842216492,0.9582338929176331
20,0.8549872040748596,0.0005000000237487257,0.5544841885566711,0.9838874936103821,0.5226730108261108,2.5828609466552734,0.9486873745918274
21,0.8695651888847351,0.0005000000237487257,0.5271902680397034,0.9838874936103821,0.6957040429115295,1.0866714715957642,0.9474940299987793
22,0.862915575504303,0.0005000000237487257,0.548060417175293,0.9851662516593933,0.6408114433288574,1.4913527965545654,0.9749403595924377
23,0.8920716047286987,0.0002500000118743628,0.47958362102508545,0.9887468218803406,0.7303102612495422,1.0506575107574463,0.9260143041610718
24,0.9023017883300781,0.0002500000118743628,0.4381875693798065,0.9918158650398254,0.8484486937522888,0.5785572528839111,0.9856801629066467
25,0.9051150679588318,0.0002500000118743628,0.4445081949234009,0.987979531288147,0.7887828350067139,0.7980273962020874,0.9653937816619873
26,0.9058823585510254,0.0002500000118743628,0.437805712223053,0.9887468218803406,0.8281623125076294,0.6556979417800903,0.9725536704063416
27,0.8925831317901611,0.0002500000118743628,0.4460960626602173,0.990281343460083,0.8353222012519836,0.662882387638092,0.9785202741622925
