epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9562659859657288,9.999999747378752e-05,0.18098072707653046,0.9773269891738892,0.14050747454166412
1,0.9774935841560364,9.999999747378752e-05,0.0980326309800148,0.9844868779182434,0.11175821721553802
2,0.9849104881286621,9.999999747378752e-05,0.08655555546283722,0.9785202741622925,0.13634732365608215
3,0.9864450097084045,9.999999747378752e-05,0.0775836929678917,0.982100248336792,0.12628982961177826
4,0.987979531288147,9.999999747378752e-05,0.08083903789520264,0.9797136187553406,0.13087806105613708
5,0.9864450097084045,4.999999873689376e-05,0.070677250623703,0.982100248336792,0.11295582354068756
6,0.9918158650398254,4.999999873689376e-05,0.06021290645003319,0.9844868779182434,0.10630375146865845
7,0.9953964352607727,4.999999873689376e-05,0.053660228848457336,0.9880668520927429,0.09360548108816147
8,0.9933503866195679,4.999999873689376e-05,0.053808510303497314,0.9892601370811462,0.07998284697532654
9,0.9953964352607727,4.999999873689376e-05,0.04952842742204666,0.9904534816741943,0.07873555272817612
10,0.9953964352607727,4.999999873689376e-05,0.05340725556015968,0.9892601370811462,0.08750719577074051
11,0.9961636662483215,4.999999873689376e-05,0.05016302317380905,0.9868735074996948,0.09499683231115341
12,0.9946291446685791,4.999999873689376e-05,0.0506574846804142,0.9892601370811462,0.09398918598890305
13,0.9941176176071167,4.999999873689376e-05,0.051129963248968124,0.9880668520927429,0.0867762565612793
14,0.9966751933097839,4.999999873689376e-05,0.04744965583086014,0.9904534816741943,0.0946040153503418
15,0.9964194297790527,2.499999936844688e-05,0.045126039534807205,0.9904534816741943,0.0886940062046051
16,0.9971867203712463,2.499999936844688e-05,0.04434608295559883,0.9904534816741943,0.08861741423606873
17,0.9969309568405151,2.499999936844688e-05,0.045058730989694595,0.9916467666625977,0.08802174776792526
18,0.9964194297790527,2.499999936844688e-05,0.04618228226900101,0.9892601370811462,0.08760140091180801
19,0.9966751933097839,2.499999936844688e-05,0.04483995586633682,0.9904534816741943,0.08351598680019379
20,0.9969309568405151,1.249999968422344e-05,0.045415375381708145,0.9904534816741943,0.08698177337646484
21,0.997698187828064,1.249999968422344e-05,0.04285932332277298,0.9904534816741943,0.08771605044603348
22,0.9969309568405151,1.249999968422344e-05,0.04441685974597931,0.9904534816741943,0.08391378819942474
23,0.997698187828064,1.249999968422344e-05,0.04144228994846344,0.9904534816741943,0.08349782973527908
24,0.9979539513587952,1.249999968422344e-05,0.04091033712029457,0.9904534816741943,0.08355536311864853
