epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9749360680580139,9.999999747378752e-05,0.1330053061246872,0.9928401112556458,0.07595474272966385
1,0.9867007732391357,9.999999747378752e-05,0.08823435008525848,0.9940333962440491,0.07322816550731659
2,0.9892582893371582,9.999999747378752e-05,0.08045694977045059,0.9940333962440491,0.07040023058652878
3,0.9925830960273743,9.999999747378752e-05,0.07270386070013046,0.9904534816741943,0.07699687033891678
4,0.991304337978363,9.999999747378752e-05,0.0753195658326149,0.9916467666625977,0.07808057963848114
5,0.9925830960273743,4.999999873689376e-05,0.06759762763977051,0.9928401112556458,0.0768066868185997
6,0.9953964352607727,4.999999873689376e-05,0.06053025275468826,0.9928401112556458,0.07775519043207169
7,0.9956521987915039,4.999999873689376e-05,0.05831177532672882,0.9916467666625977,0.07602684944868088
8,0.9953964352607727,4.999999873689376e-05,0.05775720626115799,0.9916467666625977,0.07573007047176361
9,0.9953964352607727,4.999999873689376e-05,0.056594911962747574,0.9916467666625977,0.07477570325136185
10,0.9941176176071167,2.499999936844688e-05,0.06257037818431854,0.9904534816741943,0.07583213597536087
11,0.9971867203712463,2.499999936844688e-05,0.052438560873270035,0.9916467666625977,0.07233082503080368
